pais,no.universidades,continente
South Africa,3,Africa
Egypt,1,Africa
pais,no.universidades,continente
China,24,Asia
Taiwan,12,Asia
Japan,11,Asia
South Korea,10,Asia
India,9,Asia
Malaysia,8,Asia
Hong Kong,6,Asia
Israel,5,Asia
Saudi Arabia,4,Asia
Turkey,4,Asia
Singapore,3,Asia
Thailand,2,Asia
Indonesia,1,Asia
Pakistan,1,Asia
pais,no.universidades,continente
United Kingdom,22,Europa
Germany,14,Europa
Italy,8,Europa
Netherlands,8,Europa
France,5,Europa
Sweden,5,Europa
Ireland,5,Europa
Spain,5,Europa
Switzerland,4,Europa
Denmark,4,Europa
Russia,3,Europa
Belgium,3,Europa
Austria,3,Europa
Portugal,3,Europa
Greece,2,Europa
Finland,2,Europa
Czech Republic,2,Europa
Norway,2,Europa
pais,no.universidades,continente
Brazil,10,Latinoamerica
Chile,5,Latinoamerica
Mexico,5,Latinoamerica
Argentina,1,Latinoamerica
Colombia,1,Latinoamerica
pais,no.universidades,continente
United States,81,Norteamerica
Canada,19,Norteamerica
pais,no.universidades,continente
Australia,23,Oceania
New Zealand,7,Oceania
